성분명,위험도,지성,건성,민감성
아이소아밀라우레이트,-1,0,0,0
아이소프로필미리스테이트,-1,0,0,0
아이소프로필티타늄트라이아이소스테아레이트,-1,0,0,0
아이소헥사데칸,-1,0,0,0
아크릴레이트/C10-30알킬아크릴레이트크로스폴리머,-1,0,0,0
아크릴레이트/다이메티콘코폴리머,-1,0,0,0
아크릴레이트/스테아릴메타크릴레이트코폴리머,0,0,0,0
아크릴레이트/암모늄메타크릴레이트코폴리머,-2,0,0,0
아크릴레이트코폴리머,-2,0,0,0
아크릴아마이드/소듐아크릴로일디메틸타우레이트코폴리머,-2,0,0,0
아틀라스시다우드오일,-2,0,0,0
안젤리카뿌리추출물,-1,0,0,0
안하이드로자일리톨,-1,0,0,0
알라닌,-1,0,0,0
알라닐글루타민,-1,0,0,0
알란토인,-1,5,0,5
알로에베라잎즙,0,0,0,5
알로에베라잎즙가루,-3,0,0,5
알로에베라잎추출물,-3,0,0,5
알루미나,-2,0,0,0
알루미늄스타치옥테닐석시네이트,-2,0,0,0
알루미늄스테아레이트,-2,0,0,0
알루미늄하이드록사이드,-1,0,0,0
알바수련꽃추출물,-1,0,0,0
알부틴,-1,0,5,0
알엔에이,-1,0,0,0
알지닌,-1,0,0,0
알지닌피씨에이,-1,0,0,0
알코올,-2,0,-5,-5
알파리포산,-1,0,0,0
알파-비사보롤,-1,0,0,0
알파-알부틴,-1,0,0,0
알파-이소메틸이오논,-5,0,0,0
암모늄아크릴로일다이메틸타우레이트/브이피코폴리머,-1,0,0,0
약모밀추출물,-1,0,0,0
양벚나무꽃추출물,0,0,0,0
어스니어추출물,-1,0,0,0
에델바이스추출물,-1,0,0,0
에뮤오일,-1,0,0,0
에버라스팅꽃수,-1,0,0,0
에칠아스코빌에텔,0,0,0,0
에칠헥실메톡시신나메이트,-6,-5,0,-5
에칠헥실살리실레이트,-4,0,0,0
에칠헥실트리아존,-1,0,0,0
에키움플란타기네움씨오일,-1,0,0,0
에틸파라벤,-4,0,0,0
에틸헥산다이올,-3,0,0,0
에틸헥실글리세린,-1,0,0,0
에틸헥실스테아레이트,-1,0,0,0
에틸헥실메톡시신나메이트,0,0,0,0
에틸헥실팔미테이트,-1,0,0,0
에피갈로카테킨갈레이트,-2,0,0,0
연꽃수,-1,0,0,0
연꽃추출물,-1,0,0,0
연어알추출물,0,0,0,0
영실추출물,-1,0,0,0
오디추출물,0,0,0,0
오레가노잎추출물,-1,0,0,0
오렌지껍질오일,-2,0,0,0
오렌지꽃오일,-1,0,0,0
오렌지꽃추출물,-1,0,0,0
오렌지추출물,-1,0,0,-5
오리스뿌리추출물,0,0,0,0
오이열매추출물,-1,0,5,0
오조케라이트,-1,0,0,0
옥수수커넬추출물,-1,0,0,0
옥토크릴렌,-3,0,0,0
옥틸도데칸올,-1,0,0,0
올레익애씨드,-1,0,0,0
올리브오일,-1,0,0,0
올리브오일불검화물,-1,0,0,0
올리브잎추출물,-1,0,0,0
와일드인디고뿌리추출물,-1,0,0,0
와일드타임추출물,-1,0,0,0
왕귤껍질오일,-3,0,0,0
왕귤껍질추출물,-3,0,0,0
왕귤추출물,-4,0,0,0
왕대수액,-1,0,0,0
용과추출물,0,0,0,0
우뭇가사리추출물,-1,0,0,0
우엉씨오일,-1,0,0,0
우엉추출물,-1,0,0,0
울금뿌리추출물,0,0,0,0
월계수잎추출물,-1,0,0,0
유비퀴논,-1,0,0,0
유용성감초추출물,0,0,0,0
유자추출물,-1,0,0,0
유제놀,-7,0,0,0
유칼립투스잎오일,-2,0,0,-5
유칼립투스잎추출물,-1,0,0,-5
은행잎추출물,-1,0,0,0
의이인추출물,-1,0,0,0
이눌린라우릴카바메이트,-1,0,0,0
이소데실네오펜타노에이트,-1,0,0,0
이소세테스-20,-3,0,0,0
이소아밀p-메톡시신나메이트,-1,0,0,0
인도유향오일,-1,0,0,0
인동덩굴꽃추출물,-1,0,0,0
인삼추출물,-1,0,0,0
일당귀추출물,-1,0,0,0
일랑일랑꽃오일,-3,0,0,-5
잇꽃씨오일,-1,0,0,0
잇꽃올레오좀,0,0,0,0
자몽추출물,-2,0,0,0
자수정가루,-1,0,0,0
자일리톨,-1,0,0,0
자일리틸글루코사이드,-1,0,0,0
자작나무수액,-1,0,0,0
