성분명,위험도,지성,건성,민감성
소듐포스페이트,-1,0,0,0
소듐폴리글루타메이트크로스폴리머,0,0,0,0
소듐폴리아크릴레이트,-3,0,0,0
소듐피씨에이,-1,0,5,0
소듐하이알루로네이트,-1,0,5,0
소듐하이알루로네이트크로스폴리머,-1,0,0,0
소듐헥사메타포스페이트,-2,0,0,0
소르비톨,-1,0,0,0
소르빅애씨드,-3,0,0,0
소엽맥문동뿌리추출물,-1,0,0,0
소포라앙구스티폴리아루트추출물,0,0,0,0
솔비탄라우레이트,-1,0,0,0
솔비탄세스퀴아이소스테아레이트,-1,0,0,0
솔비탄세스퀴올리에이트,-1,0,0,0
솔비탄스테아레이트,-1,0,0,0
솔비탄아이소스테아레이트,-1,0,0,0
솔비탄트라이올리에이트,-1,0,0,0
수련꽃추출물,-1,0,0,0
수련뿌리추출물,-1,0,0,0
수련잎세포추출물,0,0,0,0
수박추출물,-1,0,0,0
수용성콜라겐,-1,0,0,0
수크로오스,-1,0,0,0
수크로오스팔미테이트,-1,0,0,0
숯가루,-1,0,0,0
쉐어버터,-1,-5,0,0
쉐어버터씨드케이크추출물,0,0,0,0
슈가켈프추출물,-1,0,0,0
스위트아몬드오일,-1,0,0,0
스쿠알란,-1,0,0,0
스테아랄코늄헥토라이트,-1,0,0,0
스테아릭애씨드,-1,-5,0,0
스테아릴글리시레티네이트,-1,0,0,0
스테아릴알코올,-1,0,0,0
스테아릴카프릴레이트,-1,0,0,0
스테아릴헵타노에이트,-1,0,0,0
스피룰리나추출물,-1,0,0,0
스핑고리피드,-3,0,0,0
시지지움점보스리프추출물,0,0,0,0
시트랄,-7,0,0,0
시트로넬올,-5,0,0,0
시트릭애씨드,-2,0,0,-5
식물성스쿠알란,-1,0,0,0
실리카,-2,0,0,0
실리카다이메틸실릴레이트,-1,0,0,0
실리카실릴레이트,-1,0,0,0
실크가루,-1,0,0,0
실크아미노산,-1,0,0,0
싸이머스세르필룸추출물,0,0,0,0
쌀겨추출물,-1,0,0,0
쓴쑥추출물,-1,0,0,0
씨대퍼딜추출물,-1,0,0,0
씨솔트,-1,0,0,0
아디픽애씨드/네오펜틸글라이콜/트라이멜리틱안하이드라이드코폴리머,-1,0,0,0
아데노신,-1,0,0,0
아라비아고무,-3,0,0,0
