성분명,위험도,지성,건성,민감성
하이드록시아세토페논,-1,0,0,0
하이드록시에틸셀룰로오스,-1,0,0,0
하이드록시에틸아크릴레이트/소듐아크릴로일다이메틸타우레이트코폴리머,0,0,0,0
하이드록시프로필구아,-1,0,0,0
하이드롤라이즈드삼색제비꽃추출물,-1,0,0,0
하이드롤라이즈드실크,-1,0,0,0
하이드롤라이즈드콜라겐,-1,0,0,0
하이드롤라이즈드하이알루로닉애씨드,-1,0,0,0
한련초추출물,-1,0,0,0
합성왁스,-1,0,0,0
합성칸데릴라왁스,-1,0,0,0
합성플루오르플로고파이트,-1,0,0,0
해바라기씨오일,-1,0,0,0
해바라기씨왁스,-1,0,0,0
해바라기추출물,-1,0,0,0
해수,-1,0,0,0
향료,-8,0,0,0
헥실렌글라이콜,-1,0,0,0
헥실신나몰,-5,0,0,0
호호바씨오일,-1,0,0,0
호호바에스터,-1,0,0,0
홍화추출물,-1,0,0,0
황금추출물,-1,0,0,0
황련추출물,-1,0,0,0
황색203호,-3,0,0,0
황색4호,-3,0,0,0
황색4호레이크,0,0,0,0
황색5호,-1,0,0,0
황색5호레이크,0,0,0,0
황색산화철,-1,0,0,0
흑색산화철,-2,0,0,0
흰무늬엉겅퀴추출물,-1,0,0,0
히비스커스꽃추출물,-1,0,0,0
