성분명,위험도,지성,건성,민감성
하이드로제네이티드폴리디사이클로펜타디엔,-1,0,0,0
하이드로제네이티드폴리사이클로펜타디엔,-1,0,0,0
하이드로제네이티드폴리아이소부텐,-1,0,0,0
하이드로젠다이메티콘,-1,0,0,0
하이드록시에틸아크릴레이트/소듐아크릴로일다이메틸타우레이트코폴리머,0,0,0,0
하이드록시프로필비스팔미타마이드엠이에이,-1,0,0,0
하이드롤라이즈드옥수수전분,-1,0,0,0
하이드롤라이즈드콜라겐,-1,0,0,0
합성비즈왁스,-1,0,0,0
합성왁스,-1,0,0,0
합성플루오르플로고파이트,-1,0,0,0
해바라기씨오일,-1,0,0,0
향료,-8,0,0,0
헥사데케인,0,0,0,0
헥실라우레이트,-1,0,0,0
헥실렌글라이콜,-1,0,0,0
황색4호,-3,0,0,0
황색4호레이크,0,0,0,0
황색5호,-1,0,0,0
황색산화철,-1,0,0,0
흑색산화철,-2,0,0,0
